Date,Rate
2020-01-31,1.10277
2020-02-29,1.10336
2020-03-31,1.0952
2020-04-30,1.11053
2020-05-31,1.12331
2020-06-30,1.1779
2020-07-31,1.19362
2020-08-31,1.17208
2020-09-30,1.1648
2020-10-31,1.19249
2020-11-30,1.22156
2020-12-31,1.21376
2021-01-31,1.20734
2021-02-28,1.17308
2021-03-31,1.202
2021-04-30,1.22258
2021-05-31,1.18566
2021-06-30,1.18671
2021-07-31,1.18088
2021-08-31,1.15776
2021-09-30,1.15619
2021-10-31,1.13392
2021-11-30,1.1373
2021-12-31,1.1233
2022-01-31,1.12194
2022-02-28,1.10671
2022-03-31,1.05453
2022-04-30,1.07322
2022-05-31,1.04834
2022-06-30,1.02266
2022-07-31,1.00544
2022-08-31,0.98016
2022-09-30,0.98828
2022-10-31,1.04072
2022-11-30,1.07039
2022-12-31,1.08632
2023-01-31,1.05753
2023-02-28,1.08422
2023-03-31,1.1017
2023-04-30,1.06888
2023-05-31,1.0911
2023-06-30,1.09978
2023-07-31,1.08434
2023-08-31,1.05744
2023-09-30,1.05744
2023-10-31,1.08884
2023-11-30,1.10374
2023-12-31,1.08176
2024-01-31,1.08048
2024-02-29,1.07932
2024-03-31,1.06662
2024-04-30,1.08486
2024-05-31,1.07131
2024-06-30,1.08264
2024-07-31,1.1047
2024-08-31,1.11348
2024-09-30,1.08834
2024-10-31,1.05778
2024-11-30,1.03533
2024-12-31,1.0309
