"Date","GoldUSD","GoldCHF"
2007-12-31,-0.64313100547052,-0.556795826472174
2008-01-31,-0.603959166013374,-0.530871573670635
2008-02-29,-0.583143771446196,-0.524284860760969
2008-03-31,-0.605471377226013,-0.572023956982353
2008-04-30,-0.628574366092198,-0.578217215802282
2008-05-30,-0.620692018694872,-0.566865336694694
2008-06-30,-0.604357567267696,-0.558209346720487
2008-07-31,-0.606983588438653,-0.549669935735832
2008-08-29,-0.643640787720674,-0.569998397038894
2008-09-30,-0.624924496536479,-0.539804438745027
2008-10-31,-0.690789220033157,-0.607361963190184
2008-11-28,-0.649715335877961,-0.534864404062778
2008-12-31,-0.625023025878946,-0.561779578275505
2009-01-30,-0.603436532109856,-0.496451627005523
2009-02-27,-0.596680846324213,-0.486280110167145
2009-03-31,-0.605925468978251,-0.507686927123559
2009-04-30,-0.619509666585273,-0.524518018740072
2009-05-29,-0.581918580492047,-0.511606895647232
2009-06-30,-0.60147879691389,-0.527345059236699
2009-07-31,-0.592319851948953,-0.523293939349781
2009-08-31,-0.592624007745263,-0.528729434737624
2009-09-30,-0.568334382885025,-0.510630546609737
2009-10-30,-0.55459596543762,-0.50093991810326
2009-11-30,-0.497277591428804,-0.44661410897221
2009-12-31,-0.529372453766177,-0.467321451991315
2010-01-29,-0.536547960228417,-0.462541713419699
2010-02-26,-0.523524951485008,-0.439502790609562
2010-03-31,-0.522561077482618,-0.451029538201478
2010-04-30,-0.49514421697018,-0.40382961980677
2010-05-31,-0.478886875463195,-0.341139268175393
2010-06-30,-0.468091486636422,-0.37299447707037
2010-07-30,-0.494373117768267,-0.424332949594159
2010-08-31,-0.465178445206976,-0.405374291418329
2010-09-30,-0.439869255846431,-0.399239322093176
2010-10-29,-0.418355588113077,-0.379479183364178
2010-11-30,-0.405324011600759,-0.348512889264532
2010-12-31,-0.392223892937159,-0.378794281800562
2011-01-31,-0.427210377281704,-0.41057662882707
2011-02-28,-0.395158353788881,-0.38501668536788
2011-03-31,-0.384063093050254,-0.383195138656136
2011-04-29,-0.336340620220791,-0.371755825306384
2011-05-31,-0.341866831167829,-0.386226192384478
2011-06-30,-0.355566693655138,-0.406423502324294
2011-07-29,-0.304434248799441,-0.400827710825816
2011-08-31,-0.213958609108395,-0.308759453827434
2011-09-30,-0.302292306571907,-0.310027250338808
2011-10-31,-0.261222706301165,-0.295178001544672
2011-11-30,-0.252213697292156,-0.254725092170264
