"Date";"chinf";"usinf";"deinf"
1999-12-31;3;11,65;NA
2000-01-31;2,75;11,95;NA
2000-02-29;2,675;12,45;NA
2000-03-31;2,55;12,15;NA
2000-04-30;3,35;13,15;NA
2000-05-31;3,65;13,35;NA
2000-06-30;3,75;12,55;NA
2000-07-31;3,625;12,35;NA
2000-08-31;3,95;12,95;NA
2000-09-30;4,75;12,45;NA
2000-10-31;4,85;14;NA
2000-11-30;5,05;13,65;NA
2000-12-31;5,25;13,95;NA
2001-01-31;4,7;13,15;NA
2001-02-28;4,45;12,65;NA
2001-03-31;4,35;12,75;NA
2001-04-30;3,95;12,35;NA
2001-05-31;3,75;11,15;NA
2001-06-30;3,775;10,35;NA
2001-07-31;4,2;11,2;NA
2001-08-31;3,7;11,7;NA
2001-09-30;5,05;12,05;NA
2001-10-31;5,3;11,5;NA
2001-11-30;5,2;12,15;NA
2001-12-31;4,9;11,25;NA
2002-01-31;4,7;10,8;NA
2002-02-28;4,05;10,35;NA
2002-03-31;4,025;9,25;NA
2002-04-30;4,2;9,85;NA
2002-05-31;4,15;10,35;NA
2002-06-30;4,175;12;NA
2002-07-31;4,5;11,2;NA
2002-08-31;4,375;10,9;NA
2002-09-30;4,55;10,85;NA
2002-10-31;4,35;10,15;NA
2002-11-30;4,25;10;NA
2002-12-31;4,7;11,1;NA
2003-01-31;4,25;10,95;NA
2003-02-28;4,175;10,75;NA
2003-03-31;4,15;11,15;NA
2003-04-30;4,05;10,95;NA
2003-05-31;4,55;10,95;NA
2003-06-30;5,1;9,9;NA
2003-07-31;4,725;10,35;NA
2003-08-31;4,35;10,5;NA
2003-09-30;4,5;11,45;NA
2003-10-31;4,175;10,75;NA
2003-11-30;4,325;11,5;NA
2003-12-31;4,3;11,8;NA
2004-01-31;4,225;11,15;NA
2004-02-29;4,125;11,05;NA
2004-03-31;4,2;11,45;NA
2004-04-30;4,05;11,5;NA
2004-05-31;4,25;11,55;NA
2004-06-30;4,4;11,1;NA
2004-07-31;4,15;11,15;NA
2004-08-31;4,05;11,25;NA
2004-09-30;3,9;10,9;NA
2004-10-31;3,85;11,35;NA
2004-11-30;3,85;11,45;NA
2004-12-31;3,65;11,3;NA
2005-01-31;3,75;10,65;NA
2005-02-28;3,55;10,35;NA
2005-03-31;3,4;10,32;6,85
2005-04-30;3,5;10,25;7,1
2005-05-31;3,5;10,3;6,7
2005-06-30;3,2;9,9;6,55
2005-07-31;3,1;9,65;6,55
2005-08-31;3,15;9,6;6,5
2005-09-30;3,1;10,2;6,5
2005-10-31;3,15;10,1;6,55
2005-11-30;3,05;10,22;6,2
2005-12-31;3;10,15;6,475
2006-01-31;2,95;9,8515;6,35
2006-02-28;3;9,5766;6,025
2006-03-31;2,95;9,5014;5,9
2006-04-30;3,0509;9,7764;5,8
2006-05-31;3,2;10,2;5,8
2006-06-30;2,975;9,675;5,9
2006-07-31;2,95;9,4507;5,3
2006-08-31;2,85;9,4;5
2006-09-30;2,95;8,5;4,95
2006-10-31;2,75;7,8009;4,45
2006-11-30;2,7;8,575;4,7
2006-12-31;2,4;7,625;4,6
2007-01-31;2,825;6,975;5,15
2007-02-28;2,925;6,875;5,3
2007-03-31;2,875;6,95;5,4
2007-04-30;2,9;6,7;5,2
2007-05-31;2,95;6,3;4,85
2007-06-30;3,1;6,5508;4,75
2007-07-31;3,35;6,95;4,75
2007-08-31;3,575;6,95;6,35
2007-09-30;3,1;6,8375;7,1
2007-10-31;3,5712;7,1832;6,5
2007-11-30;4,05;8,3;8,4
2007-12-31;3,625;8,5;9,05
2008-01-31;4,25;8,7;9,35
2008-02-29;4,825;9,5;9,55
2008-03-31;5,675;11,45;11,8
2008-04-30;4,675;11,25;10,55
2008-05-31;4,9;10,55;10,2
2008-06-30;5,4166;11,8008;10,55
2008-07-31;4,9234;10,85;9,667
2008-08-31;5;10,95;10,008
2008-09-30;5,6;13,5;11,1
2008-10-31;9,375;16,2985;14,563
2008-11-30;7,6;16,15;18,9815
2008-12-31;9,2;17,95;22,0115
2009-01-31;8,45;15,1875;19,384
2009-02-28;8;14,7668;19,089
2009-03-31;6,85;15,35;16,946
2009-04-30;6,3;12;13,868
2009-05-31;5,7;14,3355;12,314
2009-06-30;4,55;13,1469;12,3075
2009-07-31;4,4;12,3285;11,155
2009-08-31;4,85;12,15;11,707
2009-09-30;4,6625;11,65;12,176
2009-10-31;4,775;13,0693;14,0415
2009-11-30;5,1;14,25;14,406
2009-12-31;5,25;12,85;13,152
