structure,type,seas_adj,date,value
ks_i63_index_q_hist,index,na,1972-10-01,18.338699638156946
ks_i63_index_q_hist,index,na,1973-01-01,9.253659058757126
ks_i63_index_q_hist,index,na,1973-04-01,10.581937631839786
ks_i63_index_q_hist,index,na,1973-07-01,7.511688076394178
ks_i63_index_q_hist,index,na,1973-10-01,-2.682151679677422
ks_i63_index_q_hist,index,na,1974-01-01,-3.462398925905824
ks_i63_index_q_hist,index,na,1974-04-01,-10.814702972311668
ks_i63_index_q_hist,index,na,1974-07-01,-11.625246489665123
ks_i63_index_q_hist,index,na,1974-10-01,-19.106185211124366
ks_i63_index_q_hist,index,na,1975-01-01,-23.395462452885713
ks_i63_index_q_hist,index,na,1975-04-01,-15.719003909108746
ks_i63_index_q_hist,index,na,1975-07-01,-18.600727487729596
ks_i63_index_q_hist,index,na,1975-10-01,-17.486433312010615
ks_i63_index_q_hist,index,na,1976-01-01,-19.639415126283858
ks_i63_index_q_hist,index,na,1976-04-01,0.1501785754191738
ks_i63_index_q_hist,index,na,1976-07-01,8.9899915604553
ks_i63_index_q_hist,index,na,1976-10-01,2.7013581814798315
ks_i63_index_q_hist,index,na,1977-01-01,-10.983655108155252
ks_i63_index_q_hist,index,na,1977-04-01,5.923407856980141
ks_i63_index_q_hist,index,na,1977-07-01,7.473728292622909
ks_i63_index_q_hist,index,na,1977-10-01,2.137670379156447
ks_i63_index_q_hist,index,na,1978-01-01,7.098512236526223
ks_i63_index_q_hist,index,na,1978-04-01,6.253308526035799
ks_i63_index_q_hist,index,na,1978-07-01,5.371406913980406
ks_i63_index_q_hist,index,na,1978-10-01,-5.865366662714314
ks_i63_index_q_hist,index,na,1979-01-01,3.214103175229889
ks_i63_index_q_hist,index,na,1979-04-01,8.891355836574206
ks_i63_index_q_hist,index,na,1979-07-01,-2.91401571434968
ks_i63_index_q_hist,index,na,1979-10-01,-3.705387499004307
ks_i63_index_q_hist,index,na,1980-01-01,-0.09645529227161381
ks_i63_index_q_hist,index,na,1980-04-01,2.019081987084178
ks_i63_index_q_hist,index,na,1980-07-01,-0.09043075461364669
ks_i63_index_q_hist,index,na,1980-10-01,-3.5066935616222072
ks_i63_index_q_hist,index,na,1981-01-01,-4.604093748092329
ks_i63_index_q_hist,index,na,1981-04-01,-13.637665324941288
ks_i63_index_q_hist,index,na,1981-07-01,-15.164512247418294
ks_i63_index_q_hist,index,na,1981-10-01,-22.339210479450404
ks_i63_index_q_hist,index,na,1982-01-01,-14.994443627620003
ks_i63_index_q_hist,index,na,1982-04-01,-13.05820698180407
ks_i63_index_q_hist,index,na,1982-07-01,-20.039547276613515
ks_i63_index_q_hist,index,na,1982-10-01,-21.18782365758917
ks_i63_index_q_hist,index,na,1983-01-01,-18.222348965068957
ks_i63_index_q_hist,index,na,1983-04-01,-3.3826718955542896
ks_i63_index_q_hist,index,na,1983-07-01,-7.535442942892907
ks_i63_index_q_hist,index,na,1983-10-01,-7.832004907024216
ks_i63_index_q_hist,index,na,1984-01-01,1.058046575376761
ks_i63_index_q_hist,index,na,1984-04-01,-2.322034740838504
ks_i63_index_q_hist,index,na,1984-07-01,1.452586166074505
ks_i63_index_q_hist,index,na,1984-10-01,-2.49931787401048
ks_i63_index_q_hist,index,na,1985-01-01,5.11930724592075
ks_i63_index_q_hist,index,na,1985-04-01,1.6410150747532843
ks_i63_index_q_hist,index,na,1985-07-01,1.6975423255934425
ks_i63_index_q_hist,index,na,1985-10-01,6.433526988351417
