"Date","CHF_1Y","CHF_2Y","CHF_3Y","CHF_5Y","CHF_7Y","CHF_10Y","CHF_20Y","CHF_30Y","EUR_1Y","EUR_2Y","EUR_3Y","EUR_5Y","EUR_7Y","EUR_10Y","EUR_20Y","EUR_30Y","USD_1Y","USD_2Y","USD_3Y","USD_5Y","USD_7Y","USD_10Y","USD_20Y","USD_30Y"
2016-12-31,-0.635,-0.793,-0.838,-0.655,-0.406,-0.135,0.226,0.349,-0.65,-0.51,-0.35,-0.18,-0.03,0.1,0.22,0.62,0.85,1.2,1.47,1.93,2.25,2.45,2.79,3.06
2017-01-31,-0.651,-0.835,-0.864,-0.626,-0.35,-0.072,0.282,0.401,-0.48,-0.31,-0.14,0.04,0.19,0.34,0.46,0.88,0.84,1.19,1.46,1.9,2.24,2.45,2.78,3.05
2017-02-28,-0.669,-0.874,-0.938,-0.752,-0.492,-0.213,0.154,0.278,-0.74,-0.59,-0.42,-0.25,-0.09,0.05,0.18,0.64,0.88,1.22,1.49,1.89,2.19,2.36,2.7,2.97
2017-03-31,-0.629,-0.773,-0.799,-0.594,-0.35,-0.1,0.218,0.325,-0.54,-0.39,-0.23,-0.07,0.08,0.21,0.33,0.76,1.03,1.27,1.5,1.93,2.22,2.4,2.76,3.02
2017-04-30,-0.637,-0.772,-0.792,-0.589,-0.346,-0.096,0.227,0.336,-0.52,-0.37,-0.21,-0.06,0.09,0.22,0.34,0.76,1.07,1.28,1.45,1.81,2.1,2.29,2.67,2.96
2017-05-31,-0.649,-0.8,-0.841,-0.659,-0.413,-0.145,0.208,0.327,-0.57,-0.42,-0.25,-0.09,0.06,0.21,0.33,0.78,1.17,1.28,1.44,1.75,2.02,2.21,2.6,2.87
2017-06-30,-0.63,-0.719,-0.712,-0.5,-0.266,-0.025,0.287,0.392,-0.38,-0.23,-0.07,0.08,0.23,0.36,0.48,0.89,1.24,1.38,1.55,1.89,2.14,2.31,2.61,2.84
2017-07-31,-0.623,-0.698,-0.666,-0.419,-0.176,0.06,0.357,0.456,-0.4,-0.23,-0.05,0.12,0.28,0.42,0.55,1.01,1.23,1.34,1.51,1.84,2.11,2.3,2.66,2.89
2017-08-31,-0.637,-0.745,-0.763,-0.581,-0.355,-0.114,0.203,0.31,-0.53,-0.37,-0.21,-0.05,0.1,0.23,0.35,0.78,1.23,1.33,1.44,1.7,1.95,2.12,2.47,2.73
2017-09-30,-0.637,-0.737,-0.726,-0.488,-0.235,0.017,0.34,0.448,-0.47,-0.3,-0.12,0.04,0.2,0.33,0.46,0.89,1.31,1.47,1.62,1.92,2.16,2.33,2.63,2.86
2017-10-31,-0.69,-0.779,-0.757,-0.524,-0.28,-0.029,0.298,0.409,-0.52,-0.35,-0.19,-0.02,0.14,0.28,0.41,0.88,1.43,1.6,1.73,2.01,2.23,2.38,2.66,2.88
2017-11-30,-0.692,-0.753,-0.714,-0.507,-0.293,-0.053,0.298,0.421,-0.45,-0.29,-0.13,0.03,0.17,0.3,0.42,0.85,1.62,1.78,1.9,2.14,2.31,2.42,2.65,2.83
2017-12-31,-0.704,-0.761,-0.716,-0.519,-0.32,-0.095,0.241,0.36,-0.34,-0.18,-0.02,0.12,0.25,0.37,0.48,0.87,1.76,1.89,1.98,2.2,2.33,2.4,2.58,2.74
2018-01-31,-0.749,-0.833,-0.743,-0.426,-0.157,0.103,0.436,0.549,-0.16,0.03,0.2,0.34,0.47,0.59,0.69,1.02,1.9,2.14,2.29,2.52,2.66,2.72,2.83,2.95
2018-02-28,-0.662,-0.77,-0.747,-0.474,-0.184,0.116,0.512,0.646,-0.17,0.02,0.19,0.35,0.48,0.6,0.7,1.05,2.07,2.25,2.42,2.65,2.8,2.87,3.02,3.13
2018-03-31,-0.654,-0.791,-0.79,-0.529,-0.241,0.054,0.437,0.567,-0.28,-0.11,0.05,0.19,0.32,0.43,0.53,0.87,2.09,2.27,2.39,2.56,2.68,2.74,2.85,2.97
2018-04-30,-0.619,-0.686,-0.664,-0.423,-0.157,0.12,0.482,0.604,-0.23,-0.06,0.11,0.26,0.39,0.5,0.6,0.93,2.24,2.49,2.62,2.79,2.91,2.95,3.01,3.11
2018-05-31,-0.638,-0.742,-0.76,-0.562,-0.3,-0.008,0.388,0.522,-0.39,-0.23,-0.06,0.09,0.22,0.34,0.44,0.79,2.23,2.4,2.54,2.68,2.78,2.83,2.01,3
2018-06-30,-0.619,-0.665,-0.671,-0.512,-0.285,-0.012,0.381,0.516,-0.4,-0.25,-0.1,0.04,0.16,0.28,0.38,0.73,2.33,2.52,2.63,2.73,2.81,2.85,2.91,2.98
2018-07-31,-0.621,-0.634,-0.588,-0.4,-0.199,0.042,0.426,0.565,-0.34,-0.19,-0.04,0.09,0.22,0.33,0.43,0.78,2.44,2.67,2.77,2.85,2.92,2.96,3.03,3.08
2018-08-31,-0.627,-0.668,-0.648,-0.483,-0.283,-0.032,0.384,0.537,-0.38,-0.25,-0.11,0.03,0.15,0.26,0.35,0.7,2.46,2.62,2.7,2.74,2.81,2.81,2.95,3.02
2018-09-30,-0.618,-0.619,-0.563,-0.351,-0.134,0.113,0.485,0.616,-0.25,-0.09,-0.05,0.18,0.3,0.4,0.49,0.8,2.59,2.81,2.88,2.94,3.01,3.05,3.13,3.19
2018-10-31,-0.645,-0.677,-0.632,-0.412,-0.183,0.071,0.437,0.565,-0.35,-0.2,-0.05,0.08,0.2,0.3,0.4,0.73,2.69,2.87,2.93,2.98,3.07,3.03,3.3,3.39
2018-11-30,-0.662,-0.723,-0.698,-0.5,-0.277,-0.015,0.381,0.521,-0.4,-0.26,-0.12,0.01,0.13,0.24,0.33,0.68,2.7,2.8,2.83,2.84,2.92,3.01,3.19,3.3
2018-12-31,-0.647,-0.738,-0.749,-0.6,-0.4,-0.154,0.231,0.368,-0.44,-0.31,-0.18,-0.06,0.06,0.16,0.25,0.57,2.63,2.48,2.46,2.51,2.59,2.69,2.87,3.02
2019-01-31,-0.646,-0.742,-0.755,-0.625,-0.445,-0.21,0.182,0.327,-0.43,-0.33,-0.22,-0.12,-0.03,0.06,0.15,0.45,2.56,2.52,2.5,2.51,2.59,2.71,2.89,3.03
2019-02-28,-0.648,-0.727,-0.744,-0.632,-0.463,-0.236,0.16,0.309,-0.42,-0.32,-0.22,-0.12,-0.03,0.07,0.15,0.47,2.54,2.52,2.5,2.52,2.63,2.73,2.94,3.09
2019-03-31,-0.633,-0.723,-0.792,-0.745,-0.586,-0.352,0.033,0.17,-0.54,-0.47,-0.39,-0.3,-0.22,-0.14,-0.07,0.24,2.4,2.27,2.21,2.23,2.31,2.41,2.63,2.81
2019-04-30,-0.592,-0.681,-0.748,-0.684,-0.507,-0.267,0.097,0.222,-0.49,-0.41,-0.32,-0.23,-0.14,-0.05,-0.03,0.35,2.39,2.27,2.24,2.28,2.39,2.51,2.75,2.93
