Time,Document Name,Sentiment Value
2014-06,translated_2014-06-30 [COMPANY_1] VA.txt,-0.3078024089336395
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_1.txt,-0.9999828934669495
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_10.txt,-0.9999882578849792
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_11.txt,-0.9999915957450867
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_12.txt,-0.999998152256012
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_13.txt,-0.9999975562095642
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_14.txt,-0.9999972581863403
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_15.txt,-0.9999986290931702
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_16.txt,-0.9999983906745911
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_17.txt,-0.9999982118606567
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_18.txt,-0.999998152256012
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_19.txt,-0.9999985098838806
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_2.txt,-0.9999984502792358
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_20.txt,-0.999998152256012
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_21.txt,-0.9999985098838806
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_22.txt,-0.9999987483024597
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_23.txt,-0.9999983906745911
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_24.txt,-0.999998152256012
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_25.txt,-0.9999982714653015
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_26.txt,-0.9999986886978149
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_27.txt,-0.9999985098838806
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_28.txt,-0.9999991655349731
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_29.txt,-0.9999991655349731
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_3.txt,-0.9999911785125732
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_30.txt,-0.9999988675117493
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_31.txt,-0.9999989867210388
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_32.txt,-0.9999991059303284
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_33.txt,-0.9999988079071045
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_34.txt,-0.999997615814209
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_35.txt,-0.9999973773956299
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_36.txt,-0.9999980926513672
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_37.txt,-0.9999989867210388
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_38.txt,-0.9999803900718689
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_4.txt,-0.9999989867210388
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_5.txt,-0.9999811053276062
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_6.txt,-0.999987006187439
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_7.txt,-0.9999902248382568
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_8.txt,-0.9999948740005493
2014-09,translated_20140930_[COMPANY_2]_10011435-001_350565_001001_page_9.txt,-0.9999874234199524
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_1.txt,-0.9999804496765137
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_10.txt,-0.9999817609786987
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_11.txt,-0.9999938607215881
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_12.txt,-0.9999986290931702
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_13.txt,-0.9999973773956299
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_14.txt,-0.9999972581863403
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_15.txt,-0.999998927116394
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_16.txt,-0.9999977350234985
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_17.txt,-0.9999985098838806
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_18.txt,-0.9999984502792358
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_19.txt,-0.9999987483024597
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_2.txt,-0.9999983906745911
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_20.txt,-0.9999982714653015
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_21.txt,-0.9999984502792358
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_22.txt,-0.999998927116394
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_23.txt,-0.9999988079071045
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_24.txt,-0.9999980926513672
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_25.txt,-0.9999983310699463
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_26.txt,-0.9999983310699463
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_27.txt,-0.9999991655349731
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_28.txt,-0.9999993443489075
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_29.txt,-0.9999991059303284
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_3.txt,-0.9999933838844299
